date,adr_usd,local_px,fx,premium_pct
2023-10-02,17.0600,15.0200,17.5457,-0.356
2023-10-03,16.4300,14.7200,17.9134,-0.028
2023-10-04,16.8900,15.1900,17.9505,-0.203
2023-10-05,16.7800,15.2900,18.3190,0.521
2023-10-06,16.6000,15.0500,18.1600,0.151
2023-10-09,16.7100,15.1600,18.1600,0.084
2023-10-10,16.9600,15.2000,17.9800,0.309
2023-10-11,17.0300,15.1600,17.8190,0.085
2023-10-12,16.8200,15.1000,17.8990,-0.311
2023-10-13,16.7700,15.1300,18.0525,0.046
2023-10-16,17.1300,15.3000,17.9564,0.521
2023-10-17,17.1400,15.3900,17.9022,-0.311
2023-10-18,16.3800,14.9200,18.2492,0.175
2023-10-19,16.5400,15.0900,18.2860,0.216
2023-10-20,16.8300,15.3400,18.2152,-0.078
2023-10-23,16.7900,15.2100,18.1033,-0.081
2023-10-24,16.8400,15.3100,18.2818,0.544
2023-10-25,16.6700,15.2200,18.2970,0.201
2023-10-26,16.7900,15.2000,18.1841,0.431
2023-10-27,16.7100,15.1200,18.0496,-0.262
2023-10-30,16.6700,15.0500,18.0210,-0.196
2023-10-31,16.6000,14.9100,18.0530,0.496
2023-11-01,16.6800,14.8000,17.9460,1.128
2023-11-03,17.3100,15.1500,17.3706,-0.764
2023-11-06,17.4000,15.2700,17.5236,-0.160
2023-11-07,17.1700,14.9700,17.4680,0.176
2023-11-08,17.1100,14.9800,17.4792,-0.177
2023-11-09,16.9300,15.1500,17.4832,-2.313
2023-11-10,17.2800,15.2300,17.4832,-0.818
2023-11-13,17.3400,15.2600,17.5770,-0.136
2023-11-14,17.8100,15.4300,17.4010,0.425
2023-11-15,17.7300,15.3300,17.3256,0.190
2023-11-16,17.7000,15.2400,17.3019,0.474
2023-11-17,17.7000,15.2100,17.2099,0.137
2023-11-21,17.6500,15.1500,17.2096,0.247
2023-11-22,17.6300,15.1400,17.2014,0.152
2023-11-24,18.0800,15.3100,17.1255,1.120
2023-11-27,17.7400,15.2100,17.1520,0.025
2023-11-28,17.8000,15.2100,17.1180,0.164
2023-11-29,17.8900,15.4700,17.2022,-0.534
2023-11-30,18.1700,15.7700,17.3758,0.101
2023-12-01,18.6100,15.9600,17.2032,0.298
2023-12-04,18.3500,16.0100,17.4136,-0.206
2023-12-05,18.3800,15.9400,17.4726,0.736
2023-12-06,18.6500,16.0700,17.2642,0.180
2023-12-07,18.3600,16.0000,17.4351,0.034
2023-12-08,18.3200,15.8500,17.3809,0.447
2023-12-11,18.2600,15.8700,17.4230,0.234
2023-12-13,18.3500,15.7700,17.4146,1.318
2023-12-14,18.9100,16.2600,17.2848,0.509
2023-12-15,18.7300,16.0900,17.1810,0.000
2023-12-18,18.9600,16.3100,17.2043,-0.002
2023-12-19,18.7100,15.9200,17.0730,0.325
2023-12-20,18.3700,15.7000,17.0780,-0.088
2023-12-21,18.7000,15.8900,17.0534,0.346
2023-12-22,18.5200,15.7200,16.9830,0.040
2023-12-26,18.5800,15.7700,16.9675,-0.046
2023-12-27,18.5000,15.6700,16.9138,-0.158
2023-12-28,18.3600,15.5800,16.9090,-0.369
2023-12-29,18.5200,15.7400,16.8998,-0.577
2024-01-02,18.4700,15.7200,17.0140,-0.048
2024-01-03,18.2100,15.5100,17.0560,0.126
2024-01-04,18.1800,15.4900,17.0480,0.043
2024-01-05,18.2800,15.4000,16.9141,0.386
2024-01-08,18.3100,15.3700,16.8030,0.086
2024-01-09,17.9800,15.2400,16.9360,-0.095
2024-01-10,18.0600,15.2800,16.9880,0.394
2024-01-11,18.4500,15.5600,16.9867,0.708
2024-01-12,18.7900,15.7200,16.8510,0.709
2024-01-16,18.3500,15.7300,17.1499,0.032
2024-01-17,18.0500,15.4100,17.2650,1.114
2024-01-18,18.0200,15.4500,17.2035,0.326
2024-01-19,18.5000,15.7600,17.1160,0.459
2024-01-22,18.2900,15.6800,17.1342,-0.069
2024-01-23,18.4600,15.9200,17.3620,0.660
2024-01-24,17.9400,15.4600,17.1590,-0.442
2024-01-25,17.8400,15.3100,17.2283,0.377
2024-01-26,18.0500,15.4500,17.1442,0.147
2024-01-29,18.0000,15.5100,17.2418,0.049
2024-01-30,18.1300,15.5700,17.1794,0.020
2024-01-31,18.0500,15.5300,17.1762,-0.183
2024-02-01,18.1400,15.5200,17.1020,-0.055
2024-02-02,18.0600,15.4900,17.1550,0.006
2024-02-06,17.9800,15.3600,17.0265,-0.346
2024-02-07,17.7700,15.2000,17.0430,-0.377
2024-02-08,17.2900,14.8700,17.1182,-0.480
2024-02-09,17.1800,14.6500,17.0937,0.229
2024-02-12,17.1500,14.6500,17.0591,-0.149
2024-02-13,16.8600,14.5600,17.2020,-0.403
2024-02-14,17.5600,15.0300,17.0970,-0.125
2024-02-15,17.8700,15.2700,17.0810,-0.053
2024-02-16,18.2400,15.5800,17.0620,-0.125
2024-02-20,18.4500,15.7600,17.0444,-0.232
2024-02-21,18.7500,15.9900,17.0580,0.012
2024-02-22,18.9600,16.2600,17.1330,-0.110
2024-02-23,19.2400,16.5300,17.1034,-0.463
2024-02-26,19.3100,16.5600,17.1077,-0.257
2024-02-27,19.3300,16.5100,17.0716,-0.062
2024-02-28,18.9200,16.1700,17.0896,-0.020
2024-02-29,18.7100,15.9900,17.0580,-0.202
2024-03-01,18.7200,15.8900,17.0055,0.171
2024-03-04,19.0200,16.1200,16.9628,0.072
2024-03-05,19.0400,16.1400,16.9287,-0.148
2024-03-06,19.1700,16.2100,16.8610,-0.301
2024-03-07,18.9200,15.9500,16.8688,0.049
2024-03-08,19.1100,16.0600,16.8082,0.001
2024-03-11,18.9600,15.9300,16.8134,0.057
2024-03-12,19.1000,16.0500,16.8281,0.130
2024-03-13,19.4500,16.2700,16.7300,-0.000
2024-03-14,19.3800,16.2000,16.6940,-0.145
2024-03-15,18.8000,15.7300,16.6889,-0.270
2024-03-19,18.5400,15.6300,16.8420,-0.112
2024-03-20,19.1500,15.9900,16.7713,0.429
2024-03-21,18.6900,15.6900,16.7390,-0.302
2024-03-22,18.4100,15.4100,16.7249,-0.096
2024-03-25,18.4000,15.3700,16.7097,0.019
2024-03-26,18.2600,15.2300,16.6870,0.034
2024-03-27,18.7900,15.6000,16.5370,-0.407
2024-04-01,18.7500,15.6000,16.6560,0.096
2024-04-02,18.6600,15.4400,16.5727,0.145
2024-04-03,18.5400,15.3500,16.5490,-0.059
2024-04-04,18.6200,15.5000,16.5076,-0.848
2024-04-05,18.6400,15.3500,16.4809,0.066
2024-04-08,19.0900,15.6200,16.3250,-0.242
2024-04-09,18.9400,15.5200,16.3579,-0.187
2024-04-10,18.5000,15.2300,16.5073,0.258
2024-04-11,18.5300,15.2400,16.4345,-0.088
2024-04-12,18.0500,15.0900,16.6577,-0.374
2024-04-15,18.0200,15.0500,16.6390,-0.387
2024-04-16,17.5700,15.0200,16.9944,-0.602
2024-04-17,18.0300,15.3300,16.9775,-0.162
2024-04-18,17.7500,15.1300,17.1169,0.405
2024-04-19,18.2600,15.6400,17.2062,0.443
2024-04-22,18.4600,15.8200,17.1180,-0.127
2024-04-23,18.6400,15.8300,17.0097,0.146
2024-04-24,18.3100,15.6500,17.1010,0.038
2024-04-25,18.3000,15.7000,17.1850,0.155
2024-04-26,18.8300,16.1600,17.1436,-0.119
2024-04-29,19.4300,16.5600,17.0137,-0.188
2024-04-30,19.0600,16.3200,17.0642,-0.354
2024-05-02,18.8700,16.0100,16.9286,-0.237
2024-05-03,19.3400,16.4500,17.0320,0.121
2024-05-06,19.6900,16.6900,16.9016,-0.302
2024-05-07,19.5500,16.5500,16.9080,-0.136
2024-05-08,19.6700,16.6500,16.9039,-0.150
2024-05-09,20.1700,16.9700,16.8590,0.190
2024-05-10,20.1700,16.9500,16.7650,-0.251
2024-05-13,19.8700,16.7300,16.8070,-0.193
2024-05-14,19.8700,16.7500,16.8402,-0.115
2024-05-15,19.9400,16.6600,16.6831,-0.162
2024-05-16,19.7300,16.5000,16.6839,-0.251
2024-05-17,19.7500,16.3400,16.6162,0.419
2024-05-20,19.8300,16.4200,16.5621,0.008
2024-05-21,19.6500,16.3400,16.5946,-0.219
2024-05-22,19.7100,16.4500,16.6206,-0.428
2024-05-23,19.5500,16.4000,16.7065,-0.423
2024-05-24,19.4400,16.2000,16.6813,0.088
2024-05-28,19.1800,16.1300,16.7039,-0.688
2024-05-29,18.7800,15.9400,16.9370,-0.227
2024-05-30,18.9200,16.0900,16.9232,-0.501
2024-05-31,18.5400,15.7400,16.9940,0.085
2024-06-03,17.2000,15.2500,17.5780,-0.872
2024-06-04,17.8200,15.9500,17.8580,-0.242
2024-06-05,17.8900,15.7000,17.5340,-0.101
2024-06-06,17.8200,15.9100,17.5212,-1.877
2024-06-07,17.2800,15.8700,18.2662,-0.555
2024-06-10,16.9400,15.5300,18.4040,0.375
2024-06-11,16.9900,15.7500,18.4350,-0.568
2024-06-12,16.8100,15.8100,18.7390,-0.379
2024-06-13,16.8400,15.5600,18.5611,0.440
2024-06-14,16.9600,15.6500,18.4519,-0.018
2024-06-17,16.8400,15.6700,18.4897,-0.649
2024-06-18,16.9500,15.6000,18.3918,-0.083
2024-06-20,16.7700,15.4600,18.3950,-0.232
2024-06-21,16.9000,15.3100,18.1995,0.448
2024-06-24,16.8400,15.1200,18.0039,0.260
2024-06-25,16.8400,15.3000,18.1250,-0.253
2024-06-26,16.8800,15.5100,18.1658,-1.148
2024-06-27,16.7700,15.4400,18.3180,-0.520
2024-06-28,17.0000,15.5900,18.2610,-0.437
2024-07-01,17.1100,15.7200,18.3860,0.059
2024-07-02,16.9700,15.5000,18.2249,-0.233
2024-07-03,17.3200,15.8000,18.1141,-0.716
2024-07-05,17.3600,15.7500,18.0870,-0.321
2024-07-08,17.6200,15.8500,17.9935,0.014
2024-07-09,18.0100,16.1800,17.9441,-0.132
2024-07-10,18.3100,16.3200,17.8331,0.038
2024-07-11,18.5400,16.4700,17.8318,0.365
2024-07-12,18.3500,16.2200,17.6530,-0.144
2024-07-15,18.1500,16.0900,17.7660,0.203
2024-07-16,18.3300,16.2000,17.6590,-0.096
2024-07-17,17.9900,15.9700,17.7487,-0.032
2024-07-18,17.4200,15.6500,17.8452,-0.683
2024-07-19,17.5500,15.8800,17.9387,-0.874
2024-07-22,17.6100,15.8200,17.9260,-0.229
2024-07-23,17.3200,15.7300,18.0738,-0.496
2024-07-24,17.1300,15.7800,18.3789,-0.244
2024-07-25,17.1000,15.7600,18.3491,-0.454
2024-07-26,16.9000,15.6000,18.3960,-0.355
2024-07-29,16.7000,15.5700,18.6591,0.066
2024-07-30,16.4900,15.4400,18.7983,0.383
2024-07-31,16.7200,15.5700,18.5975,-0.144
2024-08-01,16.5000,15.4500,18.6418,-0.456
2024-08-02,16.4100,15.7100,18.9991,-0.772
2024-08-05,16.1000,15.5900,19.4450,0.406
2024-08-06,16.2900,15.8500,19.3187,-0.725
2024-08-07,16.7100,16.1100,19.1741,-0.559
2024-08-08,16.9100,16.0100,19.1130,0.937
2024-08-09,17.1800,16.1400,18.8245,0.187
2024-08-12,17.0000,16.1900,18.9940,-0.279
2024-08-13,16.9400,16.0300,19.0499,0.657
2024-08-14,17.1000,16.0900,18.8242,0.029
2024-08-15,17.2100,16.0300,18.6539,0.135
2024-08-16,17.2300,16.0400,18.6169,-0.010
2024-08-19,17.4100,16.2200,18.7425,0.588
2024-08-20,17.2000,16.2900,18.8923,-0.262
2024-08-21,17.1000,16.4700,19.1910,-0.375
2024-08-22,16.9200,16.4200,19.4370,0.144
2024-08-23,17.3600,16.5000,19.0940,0.446
2024-08-26,17.1900,16.6000,19.4050,0.473
2024-08-27,16.7700,16.5000,19.6486,-0.149
2024-08-28,16.6600,16.4100,19.5288,-0.868
2024-08-29,16.5100,16.3500,19.7880,-0.092
2024-08-30,16.5600,16.2800,19.6576,-0.022
2024-09-03,16.2300,16.1400,19.8300,-0.297
2024-09-04,16.1500,16.0800,19.8161,-0.488
2024-09-05,16.3600,16.2800,19.9926,0.454
2024-09-06,16.1700,16.1800,20.0399,0.138
2024-09-09,16.3200,16.2300,19.8845,-0.026
2024-09-10,15.6600,15.6900,20.0831,0.224
2024-09-11,16.1600,15.9700,19.8377,0.369
2024-09-12,16.6200,16.1900,19.6029,0.618
2024-09-13,16.8500,16.2000,19.2589,0.158
2024-09-17,16.7500,16.0000,19.2769,0.903
2024-09-18,16.9000,16.3000,19.2802,-0.050
2024-09-19,16.7500,16.1600,19.2449,-0.262
2024-09-20,16.0800,15.6000,19.3230,-0.412
2024-09-23,16.0400,15.5800,19.3865,-0.206
2024-09-24,16.3300,15.8100,19.3435,-0.101
2024-09-25,16.1200,15.8700,19.5715,-0.601
2024-09-26,16.3000,15.9800,19.5690,-0.196
2024-09-27,16.3900,16.1800,19.6428,-0.511
2024-09-30,16.3600,16.1700,19.6903,-0.392
2024-10-02,16.2400,15.8200,19.3734,-0.561
2024-10-03,16.1900,15.7300,19.4841,0.269
2024-10-04,16.5600,15.9900,19.1551,-0.810
2024-10-07,16.0800,15.5700,19.3477,-0.093
2024-10-08,16.0800,15.5700,19.3761,0.054
2024-10-09,16.1300,15.7400,19.4026,-0.583
2024-10-10,16.0800,15.7200,19.4816,-0.361
2024-10-11,16.1600,15.6200,19.4312,0.515
2024-10-14,16.3500,15.9000,19.4312,-0.094
2024-10-15,16.4400,16.2300,19.5715,-0.876
2024-10-16,16.7700,16.7900,19.8835,-0.701
2024-10-17,16.9800,16.8900,19.8860,-0.040
2024-10-18,17.1300,17.0500,19.8161,-0.455
2024-10-21,16.8600,16.9300,20.0494,-0.167
2024-10-22,16.7300,16.7200,19.8992,-0.444
2024-10-23,16.6400,16.5000,19.9284,0.487
2024-10-24,16.5700,16.4600,19.8520,-0.077
2024-10-25,16.6200,16.6700,19.9126,-0.736
2024-10-28,16.7200,16.7700,20.0444,-0.077
2024-10-29,16.1100,16.2300,20.0000,-0.739
2024-10-30,15.8500,16.0600,20.1720,-0.459
2024-10-31,15.7400,15.8300,20.0314,-0.412
2024-11-01,15.6100,15.9000,20.0273,-1.690
2024-11-04,16.0500,16.1900,20.0880,-0.429
2024-11-05,15.8400,15.9300,20.2417,0.637
2024-11-06,16.0400,16.1500,20.2500,0.560
2024-11-07,15.8700,15.7700,19.8839,0.050
2024-11-08,15.2200,15.3900,20.2230,-0.002
2024-11-11,15.3000,15.6300,20.2230,-1.020
2024-11-12,15.2100,15.7200,20.5914,-0.383
2024-11-13,15.2600,15.7200,20.5908,-0.059
2024-11-14,15.0100,15.3900,20.5104,0.020
2024-11-15,15.1000,15.4700,20.3376,-0.744
2024-11-19,15.0200,15.1600,20.1465,-0.198
2024-11-20,14.9800,15.2500,20.3099,-0.248
2024-11-21,15.1800,15.5400,20.4431,-0.152
2024-11-22,15.0200,15.4800,20.4845,-0.621
2024-11-25,14.8100,15.0400,20.3320,0.105
2024-11-26,14.8200,15.3700,20.7360,-0.030
2024-11-27,14.7100,15.1900,20.6488,-0.018
2024-11-29,14.8300,15.0900,20.3142,-0.179
2024-12-02,14.8200,15.1900,20.4351,-0.313
2024-12-03,14.9600,15.2500,20.3230,-0.317
2024-12-04,15.0800,15.3600,20.2576,-0.558
2024-12-05,15.0900,15.2900,20.1920,-0.361
2024-12-06,14.8800,15.0600,20.2363,-0.028
2024-12-09,15.0000,15.2400,20.1870,-0.655
2024-12-10,14.9900,15.1600,20.2400,0.065
2024-12-11,15.1600,15.3000,20.1342,-0.250
2024-12-13,14.9900,15.1300,20.1391,-0.236
2024-12-16,14.5100,14.6900,20.1412,-0.528
2024-12-17,14.9200,15.1100,20.2650,0.051
2024-12-18,14.3000,14.6300,20.1588,-1.480
2024-12-19,14.2100,14.5200,20.4137,-0.111
2024-12-20,14.2500,14.3500,20.0664,-0.367
2024-12-23,14.0500,14.2100,20.2010,-0.132
2024-12-24,14.2100,14.3700,20.1610,-0.317
2024-12-26,14.3900,14.6300,20.1750,-0.780
2024-12-27,14.5100,14.7800,20.2220,-0.737
2024-12-30,14.1400,14.6300,20.5460,-0.711
2024-12-31,14.3100,14.9500,20.8557,-0.186
2025-01-02,14.4200,14.8500,20.6250,0.139
2025-01-03,13.9200,14.4100,20.6490,-0.266
2025-01-06,14.1700,14.4600,20.2771,-0.648
2025-01-07,14.4100,14.6600,20.3255,-0.106
2025-01-08,13.9300,14.2400,20.3720,-0.357
2025-01-10,13.7300,14.2600,20.7124,-0.287
2025-01-13,13.9100,14.4400,20.7901,0.135
2025-01-14,13.9400,14.3200,20.5144,-0.150
2025-01-15,14.0400,14.4200,20.4700,-0.347
2025-01-16,13.8200,14.4100,20.7958,-0.278
2025-01-17,13.6700,14.2600,20.7010,-0.777
2025-01-21,13.8000,14.2800,20.5571,-0.669
2025-01-22,14.1900,14.5600,20.4838,-0.184
2025-01-23,14.1600,14.4800,20.3605,-0.447
2025-01-24,14.1300,14.3400,20.2317,-0.323
2025-01-27,14.1200,14.6200,20.7208,0.061
2025-01-28,14.1400,14.5400,20.5534,-0.060
2025-01-29,14.2700,14.7300,20.5702,-0.361
2025-01-30,14.3000,14.7400,20.4287,-0.906
2025-01-31,14.0100,14.5500,20.6290,-0.683
2025-02-04,14.2600,14.6200,20.4413,-0.310
2025-02-05,14.2200,14.6200,20.5827,0.098
2025-02-06,14.6200,14.9600,20.5022,0.181
2025-02-07,14.6000,14.9900,20.5889,0.266
2025-02-10,14.5400,15.0000,20.6780,0.219
2025-02-11,14.7200,15.1800,20.5498,-0.365
2025-02-12,14.8000,15.2500,20.4826,-0.609
2025-02-13,14.8300,15.2500,20.5031,-0.308
2025-02-14,15.2800,15.5400,20.3097,-0.151
2025-02-18,15.1800,15.4000,20.2490,-0.201
2025-02-19,14.5300,14.9300,20.4428,-0.524
2025-02-20,14.7900,15.0300,20.3652,0.200
2025-02-21,14.6900,15.0300,20.3521,-0.541
2025-02-24,14.4900,14.8700,20.4401,-0.411
2025-02-25,14.5200,14.8000,20.5295,0.706
2025-02-26,14.5800,14.9500,20.4272,-0.392
2025-02-27,14.4200,14.8200,20.4818,-0.355
2025-02-28,14.2300,14.6100,20.5254,-0.042
2025-03-03,14.1200,14.6000,20.4555,-1.085
2025-03-04,14.1200,14.6700,20.8270,0.231
2025-03-05,14.2500,14.5000,20.3860,0.173
2025-03-06,14.7600,15.0200,20.3132,-0.192
2025-03-07,14.8600,15.0900,20.2660,-0.214
2025-03-10,14.6300,14.8900,20.2860,-0.341
2025-03-11,14.4800,14.7200,20.3490,0.086
2025-03-12,14.2900,14.4600,20.1678,-0.347
2025-03-13,14.2500,14.3500,20.0913,-0.244
2025-03-14,14.3500,14.3200,19.8545,-0.520
2025-03-18,14.3300,14.2900,19.9858,0.209
2025-03-19,14.1400,14.2400,20.0570,-0.419
2025-03-20,14.1700,14.3100,20.1342,-0.314
2025-03-21,14.0900,14.3100,20.1940,-0.582
2025-03-24,14.1800,14.2600,20.0960,-0.084
2025-03-25,14.2900,14.3600,20.0713,-0.133
2025-03-26,14.3600,14.4900,20.1100,-0.352
2025-03-27,14.4800,14.7100,20.2783,-0.194
2025-03-28,14.4000,14.7500,20.4198,-0.324
2025-03-31,14.2200,14.5800,20.4582,-0.235
2025-04-01,14.5400,14.8700,20.3290,-0.611
2025-04-02,14.4600,14.8500,20.5000,-0.192
2025-04-03,15.0100,14.9700,19.9508,0.021
2025-04-04,14.0900,14.4500,20.4910,-0.098
2025-04-07,13.8600,14.3900,20.7140,-0.245
2025-04-08,13.4200,14.0100,20.7089,-0.816
2025-04-09,14.0000,14.2500,20.9441,2.883
2025-04-10,13.9200,14.2700,20.5029,0.000
2025-04-11,14.1900,14.4200,20.3700,0.225
2025-04-14,14.8500,14.9700,20.1255,-0.179
2025-04-15,15.2000,15.3400,19.9704,-1.059
2025-04-16,15.2300,15.2600,19.9648,-0.372
2025-04-21,16.1800,15.9200,19.6628,-0.080
2025-04-22,16.5500,16.3000,19.5840,-0.578
2025-04-23,16.8000,16.5500,19.6327,-0.354
2025-04-24,17.1000,16.7500,19.5896,-0.005
2025-04-25,16.9900,16.6300,19.5585,-0.091
2025-04-28,17.1800,16.8400,19.5507,-0.273
2025-04-29,17.1600,16.8100,19.5851,-0.036
2025-04-30,17.2400,16.9700,19.5914,-0.484
2025-05-02,17.1900,16.8700,19.6685,0.208
2025-05-05,16.9900,16.7500,19.6316,-0.436
2025-05-06,17.2100,16.8700,19.6870,0.419
2025-05-07,17.1700,16.8200,19.5831,-0.047
2025-05-08,16.8600,16.4800,19.5850,0.183
2025-05-09,17.0600,16.6000,19.4834,0.117
2025-05-12,16.9100,16.6000,19.6130,-0.104
2025-05-13,17.2400,16.7500,19.4181,-0.069
2025-05-14,17.3800,16.8500,19.3501,-0.206
2025-05-15,17.3200,16.9000,19.4860,-0.149
2025-05-16,17.2700,16.7900,19.5250,0.416
2025-05-19,17.3500,16.7500,19.3707,0.323
2025-05-20,17.5900,16.9200,19.2670,0.150
2025-05-21,17.5900,17.0000,19.3190,-0.053
2025-05-22,17.4700,16.8400,19.3232,0.230
2025-05-23,17.5600,16.8200,19.2798,0.640
2025-05-27,17.5700,16.8600,19.2309,0.204
2025-05-28,17.3900,16.8300,19.4170,0.315
2025-05-29,17.3300,16.6900,19.3390,0.403
2025-05-30,16.9000,16.3500,19.3901,0.212
2025-06-02,17.0400,16.3500,19.2450,0.286
2025-06-03,17.0300,16.3600,19.2572,0.229
2025-06-04,16.8000,16.0700,19.2042,0.383
2025-06-05,16.6600,15.9200,19.1774,0.344
2025-06-06,16.9700,16.1600,19.1226,0.405
2025-06-09,16.8300,15.9700,19.0515,0.387
2025-06-10,17.0500,16.2600,19.0519,-0.112
2025-06-11,17.0900,16.1400,18.8436,-0.236
2025-06-12,17.3400,16.3700,18.8879,0.035
2025-06-13,17.4100,16.4500,18.9085,0.060
2025-06-16,17.4900,16.4800,18.9266,0.433
2025-06-17,17.2300,16.3200,18.9581,0.076
2025-06-18,17.2100,16.3500,19.0068,0.033
2025-06-20,17.0300,16.2900,19.1369,0.031
2025-06-23,17.0000,16.2400,19.1600,0.283
2025-06-24,17.2500,16.3500,19.0210,0.340
2025-06-25,17.3300,16.4000,18.9159,-0.057
2025-06-26,17.5600,16.5100,18.8741,0.372
2025-06-27,17.5100,16.4700,18.8283,0.086
2025-06-30,17.9400,16.8000,18.8292,0.534
2025-07-01,17.9800,16.7600,18.7381,0.510
2025-07-02,18.0800,16.9900,18.7503,-0.234
2025-07-03,18.0900,16.8300,18.6440,0.199
2025-07-07,18.0500,16.8100,18.6647,0.208
2025-07-08,17.8000,16.5400,18.7084,0.668
2025-07-09,17.6600,16.4500,18.5610,-0.369
2025-07-10,17.6300,16.4200,18.6313,0.021
2025-07-11,17.5400,16.3300,18.6727,0.281
2025-07-14,17.3700,16.3100,18.7585,-0.112
2025-07-15,17.3100,16.3000,18.7928,-0.214
2025-07-16,17.5100,16.3900,18.7302,0.051
2025-07-17,17.3600,16.2800,18.7629,0.038
2025-07-18,17.1100,16.0000,18.7037,0.006
2025-07-21,17.1600,15.9900,18.6335,-0.015
2025-07-22,17.0000,15.8500,18.5963,-0.272
2025-07-23,17.9200,16.5900,18.5784,0.339
2025-07-24,18.3400,17.0000,18.5589,0.109
2025-07-25,18.4800,17.1200,18.5676,0.213
2025-07-28,18.1800,17.0000,18.7314,0.158
2025-07-29,18.2800,17.1000,18.7694,0.323
2025-07-30,18.1400,17.0800,18.7987,-0.173
2025-07-31,18.0700,17.0600,18.7970,-0.451
2025-08-01,17.9600,16.9400,18.8770,0.068
2025-08-04,17.9800,16.9800,18.8514,-0.192
2025-08-05,18.1900,16.9800,18.7715,0.546
