date,adr_usd,local_px,fx,premium_pct
2018-04-02,6.6930,22.2765,3.3149,-0.404
2018-04-03,6.7055,22.5144,3.3222,-1.055
2018-04-04,6.6742,22.3203,3.3474,0.093
2018-04-05,6.6679,22.3892,3.3212,-1.088
2018-04-06,6.5552,22.3203,3.3702,-1.021
2018-04-09,6.2422,21.4751,3.3950,-1.317
2018-04-10,6.3298,21.6566,3.4146,-0.198
2018-04-11,6.5177,22.1638,3.3955,-0.149
2018-04-12,6.3737,21.7631,3.3902,-0.713
2018-04-13,6.1796,21.2873,3.4088,-1.045
2018-04-16,6.0669,20.8239,3.4282,-0.122
2018-04-17,6.1733,21.0869,3.4022,-0.399
2018-04-18,6.4425,21.7944,3.3844,0.044
2018-04-19,6.3924,21.7568,3.4028,-0.021
2018-04-20,6.2610,21.4500,3.4121,-0.406
2018-04-23,6.1545,21.4438,3.4463,-1.089
2018-04-24,6.1608,21.4813,3.4685,-0.525
2018-04-25,6.1983,21.7443,3.5090,0.026
2018-04-26,6.2359,21.7443,3.4992,0.351
2018-04-27,6.3110,21.9822,3.4685,-0.420
2018-04-30,6.1357,21.6441,3.4854,-1.195
2018-05-02,5.9166,21.0869,3.5404,-0.663
2018-05-03,5.8102,20.6424,3.5496,-0.090
2018-05-04,5.8415,20.6612,3.5213,-0.443
2018-05-07,5.7601,20.4733,3.5543,-0.001
2018-05-08,5.6724,20.3669,3.5850,-0.153
2018-05-09,5.6912,20.5297,3.5965,-0.298
2018-05-10,5.8916,20.9429,3.5554,0.019
2018-05-11,5.7037,20.5672,3.5879,-0.500
2018-05-14,5.5910,20.2730,3.6212,-0.132
2018-05-15,5.4971,20.1540,3.6659,-0.011
2018-05-16,5.5597,20.4796,3.6800,-0.097
2018-05-17,5.2905,19.6281,3.7073,-0.074
2018-05-18,5.2529,19.7158,3.7438,-0.253
2018-05-21,5.2467,19.4340,3.7096,0.150
2018-05-22,5.4596,19.9912,3.6367,-0.683
2018-05-23,5.3719,19.4653,3.6411,0.485
2018-05-24,5.3281,19.4966,3.6402,-0.520
2018-05-25,5.1966,19.1084,3.6586,-0.503
2018-05-29,4.9023,18.3759,3.7283,-0.536
2018-05-30,4.8773,18.2632,3.7389,-0.151
2018-06-01,4.9649,18.7077,3.7550,-0.344
2018-06-04,5.0589,18.8893,3.7446,0.286
2018-06-05,4.7458,17.9815,3.7780,-0.288
2018-06-06,4.6206,17.6809,3.8178,-0.229
2018-06-07,4.4077,17.3679,3.9294,-0.278
2018-06-08,4.6081,17.2176,3.7429,0.174
2018-06-11,4.5267,16.8921,3.6839,-1.280
2018-06-12,4.5141,16.8482,3.6745,-1.549
2018-06-13,4.4140,16.5039,3.7116,-0.733
2018-06-14,4.1886,15.8340,3.7018,-2.076
2018-06-15,4.2825,16.1157,3.7511,-0.320
2018-06-18,4.1761,15.5960,3.7537,0.511
2018-06-19,4.3326,16.4037,3.7306,-1.467
2018-06-20,4.4265,16.7543,3.7349,-1.324
2018-06-21,4.2637,16.0594,3.7992,0.868
2018-06-22,4.3201,16.3661,3.7708,-0.465
2018-06-25,4.3075,16.3411,3.7776,-0.422
2018-06-26,4.2512,16.2534,3.7705,-1.380
2018-06-27,4.1009,15.9905,3.8537,-1.168
2018-06-28,4.2449,16.5352,3.8543,-1.052
2018-06-29,4.2950,16.8420,3.8561,-1.662
2018-07-02,4.2449,16.6228,3.9135,-0.062
2018-07-03,4.4265,17.3804,3.8789,-1.211
2018-07-05,4.4453,17.5870,3.9242,-0.812
2018-07-06,4.5141,17.6371,3.9060,-0.027
2018-07-10,4.5580,17.4055,3.8260,0.192
2018-07-11,4.4390,17.3366,3.8624,-1.104
2018-07-12,4.5329,17.8437,3.8478,-2.252
2018-07-13,4.6895,18.2006,3.8659,-0.394
2018-07-16,4.6832,18.2820,3.8534,-1.290
2018-07-17,4.8335,18.8079,3.8626,-0.735
2018-07-18,4.7458,18.3446,3.8412,-0.627
2018-07-19,4.7583,18.5763,3.8808,-0.593
2018-07-20,5.0338,19.2211,3.7801,-1.003
2018-07-23,4.9962,19.0020,3.7965,-0.178
2018-07-24,5.1089,19.2837,3.7381,-0.965
2018-07-25,5.2655,19.6344,3.7075,-0.574
2018-07-26,5.0526,19.1335,3.7285,-1.541
2018-07-27,5.1653,19.3464,3.7134,-0.856
2018-07-30,5.1841,19.4904,3.7228,-0.980
2018-07-31,5.0589,19.1147,3.7450,-0.886
2018-08-01,5.1215,19.3651,3.7530,-0.745
2018-08-02,5.1152,19.3589,3.7555,-0.768
2018-08-03,5.4032,20.0977,3.7133,-0.169
2018-08-06,5.3093,19.9599,3.7208,-1.028
2018-08-07,5.1778,19.6594,3.7128,-2.214
2018-08-08,5.0839,19.1898,3.7442,-0.806
2018-08-09,4.9775,18.9895,3.8164,0.034
2018-08-10,4.6644,18.0441,3.8539,-0.376
2018-08-13,4.6832,18.3947,3.9123,-0.395
2018-08-14,4.8084,18.7077,3.8852,-0.139
2018-08-15,4.7145,18.4823,3.9135,-0.174
2018-08-16,4.6957,18.4823,3.8985,-0.953
2018-08-17,4.5642,17.9189,3.9385,0.320
2018-08-20,4.5392,18.0316,3.9473,-0.632
2018-08-21,4.3451,17.5933,3.9948,-1.338
2018-08-22,4.4265,18.0253,4.0751,0.073
2018-08-23,4.2575,17.5745,4.0898,-0.924
2018-08-24,4.3263,17.7310,4.0944,-0.098
2018-08-27,4.4390,18.2069,4.0707,-0.752
2018-08-28,4.3451,18.0942,4.1248,-0.948
2018-08-29,4.4202,18.3133,4.1220,-0.508
2018-08-30,4.2261,17.5307,4.2016,1.289
2018-08-31,4.3451,17.7686,4.1280,0.945
2018-09-04,4.1385,17.2051,4.1560,-0.032
2018-09-05,4.1635,17.3115,4.1589,0.024
2018-09-06,4.2888,17.8062,4.1462,-0.135
2018-09-10,4.3514,17.8750,4.1094,0.036
2018-09-11,4.1448,17.3366,4.1564,-0.631
2018-09-12,4.1761,17.3428,4.1363,-0.400
2018-09-13,4.1009,17.2740,4.1752,-0.879
2018-09-14,4.1761,17.3491,4.1852,0.741
2018-09-17,4.3388,17.8437,4.1718,1.441
2018-09-18,4.3388,17.9877,4.1277,-0.435
2018-09-19,4.3701,18.0691,4.1160,-0.452
2018-09-20,4.4328,18.0316,4.0834,0.384
2018-09-21,4.5267,18.3196,4.0536,0.162
2018-09-24,4.3701,17.8312,4.0733,-0.170
2018-09-25,4.3639,17.8437,4.1186,0.725
2018-09-26,4.4265,17.8876,4.0425,0.037
2018-09-27,4.5580,18.2945,3.9968,-0.422
2018-09-28,4.4328,17.9502,3.9995,-1.233
2018-10-01,4.4077,17.7498,4.0059,-0.524
2018-10-02,4.7395,18.7829,3.9223,-1.027
2018-10-03,5.0088,19.5968,3.8806,-0.815
2018-10-04,5.0088,19.6907,3.9229,-0.212
2018-10-05,5.0088,19.3964,3.8808,0.214
2018-10-08,5.4470,20.7112,3.8808,2.065
2018-10-09,5.5785,20.7864,3.7320,0.157
2018-10-10,5.2905,20.1102,3.7594,-1.099
2018-10-11,5.2467,19.9912,3.7591,-1.343
2018-10-15,5.3469,20.0977,3.7214,-0.995
2018-10-16,5.6098,21.0556,3.7177,-0.950
2018-10-17,5.6787,21.0806,3.6813,-0.833
2018-10-18,5.4971,20.4984,3.7050,-0.642
2018-10-19,5.5034,20.5672,3.7121,-0.672
2018-10-22,5.6098,20.8177,3.6850,-0.699
2018-10-23,5.6286,20.8928,3.7040,-0.213
2018-10-24,5.4220,20.3919,3.7188,-1.121
