t,share,adr10,premium,f_skhx,f_skhy,price_pnl,funding_pnl,total_pnl,drawdown
1784073600000,1436.700000,1917.200000,0.334447,0.000006,-0.000044,0.000000,-0.093835,-0.093835,0.093835
1784077200000,1414.000000,1886.400000,0.334088,-0.000060,-0.000060,8.100000,-0.123014,7.976986,0.000000
1784080800000,1415.500000,1875.500000,0.324974,-0.000085,-0.000055,20.500000,-0.105720,20.394280,0.000000
1784084400000,1447.800000,1905.600000,0.316204,-0.000078,-0.000054,22.700000,-0.094940,22.605060,0.000000
1784088000000,1439.000000,1895.900000,0.317512,-0.000073,-0.000034,23.600000,-0.053651,23.546349,0.000000
1784091600000,1421.500000,1875.100000,0.319100,-0.000051,-0.000066,26.900000,-0.104519,26.795481,0.000000
1784095200000,1390.100000,1871.400000,0.346234,-0.000000,-0.000054,-0.800000,-0.205039,-1.005039,27.800520
1784098800000,1376.200000,1847.700000,0.342610,-0.000172,-0.000074,9.000000,-0.106114,8.893886,17.901595
1784102400000,1364.200000,1824.700000,0.337560,-0.000031,-0.000070,20.000000,-0.192014,19.807986,6.987496
1784106000000,1361.700000,1810.700000,0.329735,-0.000015,-0.000042,31.500000,-0.247545,31.252455,0.000000
1784109600000,1361.200000,1820.200000,0.337202,-0.000070,-0.000024,21.500000,-0.194852,21.305148,9.947308
1784113200000,1364.000000,1819.800000,0.334164,0.000080,-0.000028,24.700000,-0.355281,24.344719,6.907736
1784116800000,1340.400000,1789.900000,0.335348,0.000151,-0.000020,31.000000,-0.593351,30.406649,0.845806
1784120400000,1350.800000,1837.300000,0.360157,-0.000066,-0.000011,-6.000000,-0.524010,-6.524010,37.776465
1784124000000,1308.400000,1746.500000,0.334836,-0.000296,-0.000016,42.400000,-0.164354,42.235646,0.000000
1784127600000,1308.600000,1710.600000,0.307199,-0.000687,-0.000016,78.500000,0.706924,79.206924,0.000000
1784131200000,1286.400000,1728.000000,0.343284,-0.000137,-0.000001,38.900000,0.882096,39.782096,39.424828
1784134800000,1302.800000,1757.200000,0.348787,-0.000583,0.000001,26.100000,1.642414,27.742414,51.464510
1784138400000,1301.300000,1753.700000,0.347652,0.000309,-0.000028,28.100000,1.191168,29.291168,49.915755
1784142000000,1315.000000,1763.400000,0.340989,0.000193,-0.000051,32.100000,0.847173,32.947173,46.259751
1784145600000,1325.300000,1739.200000,0.312307,0.000116,-0.000030,66.600000,0.641398,67.241398,11.965526
1784149200000,1319.100000,1730.200000,0.311652,0.000144,-0.000031,69.400000,0.396655,69.796655,9.410269
1784152800000,1303.300000,1713.700000,0.314893,0.000025,-0.000034,70.100000,0.305446,70.405446,8.801478
1784156400000,1278.300000,1698.000000,0.328327,-0.000351,-0.000024,60.800000,0.713763,61.513763,17.693161
1784160000000,1245.000000,1668.900000,0.340482,0.000166,-0.000016,56.600000,0.479188,57.079188,22.127736
