date,adr_usd,local_px,fx,premium_pct
2000-01-03,9.2548,8.7897,9.4015,-1.010
2000-01-04,8.5575,8.1812,9.4570,-1.080
2000-01-05,8.4941,8.2150,9.5350,-1.410
2000-01-06,8.4307,8.0798,9.5670,-0.174
2000-01-07,8.5786,8.1643,9.5200,0.032
2000-01-10,8.7688,8.3333,9.4450,-0.614
2000-01-11,8.5364,8.1389,9.4825,-0.544
2000-01-12,8.4730,8.1220,9.5150,-0.738
2000-01-13,8.5786,8.1812,9.5100,-0.280
2000-01-14,8.7899,8.3164,9.4550,-0.066
2000-01-18,8.7899,8.2403,9.4410,0.707
2000-01-19,8.5153,7.9276,9.4180,1.161
2000-01-20,8.1349,7.7417,9.4080,-1.141
2000-01-21,7.9025,7.5558,9.4470,-1.195
2000-01-24,7.5644,7.2684,9.4850,-1.287
2000-01-25,7.7968,7.4374,9.5250,-0.147
2000-01-26,8.0293,7.6065,9.5175,0.465
2000-01-27,7.7335,7.4205,9.5200,-0.785
2000-01-28,7.4799,7.1416,9.5810,0.348
2000-01-31,7.3954,7.0994,9.6400,0.419
2000-02-01,7.6912,7.3698,9.5970,0.155
2000-02-02,7.5222,7.2008,9.5750,0.023
2000-02-03,7.5010,7.1501,9.5100,-0.232
2000-02-04,7.4376,7.0149,9.4810,0.524
2000-02-07,8.1138,7.6065,9.4360,0.653
2000-02-08,8.0715,7.5896,9.4020,-0.009
2000-02-09,7.8391,7.3529,9.3990,0.205
2000-02-10,7.8602,7.4374,9.4365,-0.271
2000-02-11,7.6278,7.2346,9.4230,-0.649
2000-02-14,7.6489,7.3445,9.3930,-2.176
2000-02-15,7.7546,7.3107,9.3875,-0.425
2000-02-16,7.7757,7.2684,9.3715,0.256
2000-02-17,7.7968,7.3022,9.3980,0.346
2000-02-18,7.5644,7.1332,9.3540,-0.805
2000-02-22,7.5644,7.1247,9.4270,0.088
2000-02-23,7.8391,7.3022,9.4130,1.051
2000-02-24,7.6701,7.1839,9.3820,0.169
2000-02-25,7.4588,6.8627,9.3780,1.925
2000-02-28,7.3109,6.8796,9.4025,-0.081
2000-02-29,7.2263,6.8458,9.3645,-1.150
2000-03-01,7.1841,6.7951,9.3630,-1.010
2000-03-02,7.7757,7.2684,9.3410,-0.070
2000-03-03,8.1138,7.5051,9.3150,0.705
2000-03-06,7.8814,7.2684,9.3175,1.033
2000-03-07,8.5153,7.7586,9.2850,1.905
2000-03-08,8.9590,8.3671,9.2720,-0.721
2000-03-09,9.1280,8.5023,9.2925,-0.237
2000-03-10,8.8745,8.2826,9.3175,-0.167
2000-03-13,8.6843,8.2826,9.3130,-2.353
2000-03-14,8.5575,8.0122,9.3190,-0.467
2000-03-15,8.6843,8.1981,9.3370,-1.093
2000-03-16,8.6209,8.1981,9.3250,-1.941
