date,adr_usd,local_px,fx,premium_pct
2001-04-11,1.0100,47.1300,46.7500,0.186
2001-04-12,1.0220,46.6725,46.7500,2.370
2001-04-16,1.0500,47.6350,47.0700,3.755
2001-04-17,1.1040,48.6425,46.9500,6.559
2001-04-18,1.2000,53.6425,46.9500,5.029
2001-04-19,1.1750,56.5100,46.8800,-2.523
2001-04-20,1.1250,57.4575,46.8800,-8.210
2001-04-23,1.1200,56.2000,46.8200,-6.693
2001-04-24,1.1240,56.1475,46.8800,-6.152
2001-04-25,1.1700,55.6025,46.8800,-1.354
2001-04-26,1.2400,56.4725,46.7800,2.718
2001-04-27,1.1650,56.5150,46.8800,-3.362
2001-04-30,1.2050,56.0400,46.8800,0.804
2001-05-01,1.2000,56.0400,46.8700,0.364
2001-05-02,1.2600,56.4575,46.8700,4.603
2001-05-03,1.2570,56.9175,46.8700,3.511
2001-05-04,1.2050,56.8550,46.8700,-0.662
2001-05-07,1.2150,57.6025,46.8400,-1.201
2001-05-08,1.2000,57.5350,46.8300,-2.327
2001-05-09,1.2250,58.7425,46.8500,-2.300
2001-05-10,1.2250,58.4475,46.8800,-1.744
2001-05-11,1.2000,58.3850,46.8500,-3.708
2001-05-14,1.2000,62.0800,47.0000,-9.149
2001-05-15,1.2300,61.5300,47.0300,-5.986
2001-05-16,1.2400,62.0875,46.9700,-6.192
2001-05-17,1.2250,61.7400,46.9900,-6.766
2001-05-18,1.3200,62.2875,46.9800,-0.440
2001-05-21,1.3980,63.5700,47.0000,3.360
2001-05-22,1.3850,68.1250,47.0600,-4.326
2001-05-23,1.4000,67.0700,47.0200,-1.852
2001-05-24,1.4000,66.0900,47.0200,-0.396
2001-05-25,1.3850,66.1300,47.0200,-1.523
2001-05-29,1.6500,69.8050,47.0200,11.142
2001-05-30,1.4100,71.1600,47.0000,-6.872
2001-05-31,1.6010,70.1425,47.0000,7.277
2001-06-01,1.6520,71.9375,47.0500,8.047
2001-06-04,1.6700,73.9850,47.0600,6.225
2001-06-05,1.6430,72.3475,47.0000,6.736
2001-06-06,1.7300,72.1000,47.0300,12.846
2001-06-07,1.7250,73.1650,47.0000,10.811
2001-06-08,1.7600,73.3450,47.0300,12.854
2001-06-11,1.7550,74.0425,47.0400,11.497
2001-06-12,1.7080,75.7900,47.0800,6.099
2001-06-13,1.6250,74.5575,47.0900,2.634
2001-06-14,1.6160,74.5025,47.0000,1.946
2001-06-15,1.5610,72.4975,47.0500,1.307
2001-06-18,1.6150,71.1875,47.0200,6.672
2001-06-19,1.6750,72.6700,47.0200,8.378
2001-06-20,1.7000,72.9825,47.0100,9.502
2001-06-21,1.7370,73.1125,47.0500,11.781
2001-06-22,1.7070,74.9000,47.0400,7.206
2001-06-25,1.7750,76.5750,47.0600,9.085
2001-06-26,1.8070,84.5625,47.0700,0.583
2001-06-27,1.8300,79.6025,47.0400,8.141
2001-06-28,1.7900,79.0275,47.0600,6.593
2001-06-29,1.8550,80.3875,47.0900,8.664
2001-07-02,1.8100,80.4525,47.1800,6.144
2001-07-03,1.7700,77.6075,47.1700,7.581
2001-07-05,1.8100,78.5425,47.1800,8.726
2001-07-06,1.8650,80.5300,47.1700,9.241
2001-07-09,1.8750,78.4450,47.1900,12.794
2001-07-10,1.8700,78.2325,47.1900,12.799
2001-07-11,1.8450,79.2150,47.2100,9.957
2001-07-12,1.8450,80.2575,47.2000,8.506
2001-07-13,1.8900,79.6000,47.2100,12.094
2001-07-16,2.0430,81.1325,47.2000,18.854
2001-07-17,1.9490,80.7700,47.1600,13.798
2001-07-18,1.7800,79.1125,47.1200,6.018
2001-07-19,2.0000,83.4200,47.1600,13.066
2001-07-20,2.0590,81.6175,47.1700,18.998
2001-07-23,2.1500,83.7750,47.1700,21.057
2001-07-24,2.0240,83.1525,47.1100,14.670
2001-07-25,2.0200,79.5850,47.1900,19.776
2001-07-26,2.0200,80.2825,47.2000,18.761
2001-07-27,2.0750,79.2150,47.1900,23.612
2001-07-30,2.0270,79.9850,47.1900,19.590
2001-07-31,2.3780,84.4775,47.1800,32.809
2001-08-01,2.4550,91.6325,47.1600,26.350
2001-08-02,2.4990,91.3775,47.1100,28.837
2001-08-03,2.4600,93.7275,47.1700,23.804
2001-08-06,2.3510,90.9050,47.1600,21.966
2001-08-07,2.5400,92.4850,47.1100,29.382
2001-08-08,2.4930,90.3450,47.1900,30.217
2001-08-09,2.4480,91.5600,47.1800,26.143
2001-08-10,2.4400,89.5300,47.1700,28.554
2001-08-13,2.3990,88.6650,47.1700,27.627
2001-08-14,2.2410,89.8350,47.1500,17.619
2001-08-15,2.1850,89.8350,47.1600,14.704
2001-08-16,2.0500,84.8850,47.1600,13.893
2001-08-17,2.0840,84.5025,47.1700,16.331
2001-08-20,2.1780,84.0425,47.1800,22.269
2001-08-21,2.3500,84.4750,47.1800,31.249
2001-08-22,2.3530,84.4750,47.1800,31.417
2001-08-23,2.4200,89.7675,47.1700,27.163
2001-08-24,2.3960,90.3125,47.1700,25.142
2001-08-27,2.3600,90.4625,47.1900,23.110
2001-08-28,2.3420,92.4925,47.1900,19.490
2001-08-29,2.3700,93.4725,47.1600,19.574
2001-08-30,2.3350,92.9525,47.1800,18.518
2001-08-31,2.3240,88.5675,47.1700,23.773
2001-09-04,2.3510,88.7600,47.2200,25.072
2001-09-05,2.5170,94.7150,47.2000,25.431
