date,adr_usd,local_px,fx,premium_pct
2005-06-01,18.3467,19.8400,10.8450,0.287
2005-06-02,18.6367,20.1300,10.8125,0.104
2005-06-03,18.4433,20.0067,10.8240,-0.218
2005-06-06,18.2900,19.9167,10.8825,-0.063
2005-06-07,18.3500,19.9500,10.8600,-0.110
2005-06-08,18.5667,20.1233,10.8380,-0.004
2005-06-09,18.7833,20.3700,10.8725,0.256
2005-06-10,18.8233,20.3900,10.8680,0.330
2005-06-13,19.0000,20.6000,10.8725,0.280
2005-06-14,19.0967,20.6167,10.8399,0.407
2005-06-15,19.1967,20.7900,10.8305,0.005
2005-06-16,19.3500,20.8767,10.7929,0.036
2005-06-17,19.5233,21.1000,10.7850,-0.209
2005-06-20,19.6667,21.2500,10.8300,0.231
2005-06-21,19.5267,21.0133,10.7905,0.271
2005-06-22,19.4367,20.8367,10.7585,0.356
2005-06-23,19.4300,20.9033,10.7880,0.276
2005-06-24,19.1533,20.5667,10.7638,0.241
2005-06-27,19.3167,20.8967,10.8089,-0.084
2005-06-28,19.6000,21.1567,10.8415,0.438
2005-06-29,19.7267,21.2133,10.7560,0.022
2005-06-30,19.8567,21.3767,10.7720,0.061
2005-07-01,19.7733,21.2400,10.7370,-0.044
2005-07-05,20.2767,21.8000,10.7550,0.035
2005-07-06,20.3667,21.9367,10.7715,0.006
2005-07-07,20.4500,22.0600,10.8010,0.127
2005-07-08,20.4300,21.9700,10.7440,-0.091
2005-07-11,20.4967,21.8700,10.7010,0.290
2005-07-12,20.4833,21.9700,10.6890,-0.343
2005-07-13,20.4667,21.7667,10.6922,0.536
2005-07-14,20.7967,22.1700,10.6360,-0.229
2005-07-15,21.1600,22.3867,10.6175,0.357
2005-07-18,21.1333,22.4267,10.5855,-0.250
2005-07-19,21.6167,22.9233,10.6200,0.146
2005-07-20,21.3667,22.7333,10.6565,0.159
2005-07-21,21.2867,22.5867,10.5910,-0.186
2005-07-22,21.2167,22.6200,10.6310,-0.285
2005-07-25,21.0333,22.5633,10.6705,-0.531
2005-07-26,21.1167,22.5233,10.6960,0.280
2005-07-27,21.3367,22.7267,10.6375,-0.131
2005-07-28,21.3133,22.6033,10.6160,0.101
2005-07-29,21.6667,22.9067,10.5995,0.257
2005-08-01,21.7233,22.9800,10.5980,0.184
2005-08-02,22.3100,23.5833,10.5980,0.258
2005-08-03,22.7433,24.0400,10.5950,0.235
2005-08-04,23.0167,24.3533,10.5780,-0.026
2005-08-05,22.9333,24.3167,10.5960,-0.068
2005-08-08,22.7900,24.3000,10.6050,-0.540
2005-08-09,23.0500,24.5167,10.6375,0.011
2005-08-10,22.9600,24.2567,10.5920,0.258
2005-08-11,23.1067,24.4733,10.5850,-0.061
2005-08-12,23.2567,24.7333,10.6350,0.001
2005-08-15,23.3500,24.7433,10.5965,-0.002
2005-08-16,23.0233,24.4167,10.5750,-0.285
2005-08-17,22.6800,24.1233,10.6075,-0.272
2005-08-18,22.8333,24.3700,10.6520,-0.197
2005-08-19,22.8700,24.6900,10.7575,-0.355
2005-08-22,23.1900,24.8067,10.7280,0.288
2005-08-23,22.8000,24.7167,10.7765,-0.592
2005-08-24,23.0000,25.0000,10.8815,0.110
2005-08-25,22.8400,24.6833,10.8060,-0.010
2005-08-26,22.3000,24.0567,10.8575,0.647
2005-08-29,22.0633,23.9300,10.8950,0.451
2005-08-30,22.3367,24.1133,10.8370,0.385
2005-08-31,22.8400,24.5767,10.7940,0.313
2005-09-01,23.2000,24.8767,10.7280,0.049
2005-09-02,23.4333,24.9200,10.6800,0.429
2005-09-06,23.6100,25.1533,10.6906,0.347
2005-09-07,24.1500,26.0000,10.7180,-0.446
2005-09-08,24.1433,25.8433,10.7110,0.064
2005-09-09,24.5833,26.2233,10.7050,0.355
2005-09-12,24.4433,26.1633,10.6985,-0.048
2005-09-13,24.1467,26.0933,10.7600,-0.427
2005-09-14,24.0200,25.9767,10.8370,0.207
2005-09-15,24.0000,25.9633,10.7955,-0.208
2005-09-16,24.1667,25.9633,10.8155,0.671
2005-09-19,24.4167,26.4633,10.8575,0.178
2005-09-20,24.2167,26.2700,10.8275,-0.188
2005-09-21,23.6367,25.5667,10.7800,-0.338
2005-09-22,23.1267,25.0733,10.8470,0.049
2005-09-23,23.1867,25.1500,10.8402,-0.060
2005-09-26,23.3833,25.4333,10.8820,0.049
2005-09-27,23.3067,25.3400,10.8880,0.143
2005-09-28,23.2333,25.2800,10.8410,-0.367
2005-09-29,22.9733,24.8400,10.8091,-0.032
2005-09-30,23.3067,25.0467,10.7910,0.413
2005-10-03,23.2000,24.8500,10.7630,0.484
2005-10-04,23.2167,24.8067,10.6870,0.020
2005-10-05,22.7567,24.4300,10.7110,-0.227
2005-10-06,22.2200,24.0400,10.7705,-0.449
2005-10-07,22.3500,24.0767,10.7900,0.162
2005-10-10,22.2300,24.0167,10.7900,-0.127
2005-10-11,22.3667,24.1867,10.8045,-0.085
2005-10-12,21.6100,23.5733,10.8825,-0.239
2005-10-13,21.6767,23.6400,10.9380,0.296
2005-10-14,21.5000,23.3633,10.9155,0.449
2005-10-17,21.7000,23.5300,10.8465,0.029
2005-10-18,21.8000,23.7000,10.8340,-0.345
2005-10-19,22.0167,23.8100,10.8800,0.605
2005-10-20,21.8000,23.6767,10.8480,-0.118
2005-10-21,22.3800,24.3300,10.9190,0.439
2005-10-24,22.8900,24.8000,10.8605,0.241
2005-10-25,22.3500,24.3967,10.8440,-0.657
2005-10-26,22.1233,24.1100,10.8885,-0.087
2005-10-27,21.7333,23.7933,10.9060,-0.382
2005-10-28,22.1900,24.0300,10.8300,0.007
2005-10-31,22.6633,24.4133,10.7890,0.156
2005-11-01,22.6000,24.2700,10.7700,0.289
2005-11-02,22.7300,24.4033,10.7430,0.064
2005-11-03,22.7800,24.5167,10.7220,-0.375
2005-11-04,23.3000,25.0167,10.7465,0.091
2005-11-07,23.3400,25.0533,10.7060,-0.262
2005-11-08,23.2033,24.9067,10.7415,0.069
2005-11-09,23.2167,24.9400,10.7100,-0.301
2005-11-10,23.2167,24.8567,10.7230,0.155
2005-11-11,23.4267,24.9767,10.7230,0.576
2005-11-14,23.3300,24.8567,10.6865,0.301
2005-11-15,23.1000,24.8567,10.6500,-1.027
2005-11-16,23.1233,24.6333,10.6445,-0.080
2005-11-17,23.0833,24.5267,10.6795,0.510
2005-11-18,22.7667,24.2933,10.6655,-0.048
2005-11-21,22.7833,24.3033,10.6415,-0.241
2005-11-22,22.7300,24.1633,10.6580,0.258
2005-11-23,22.8400,24.2600,10.6175,-0.040
2005-11-25,22.9000,24.1633,10.6072,0.526
2005-11-28,22.6767,23.9733,10.5715,-0.003
2005-11-29,22.6667,23.9733,10.5700,-0.061
2005-11-30,22.6633,23.9567,10.5765,0.055
2005-12-01,23.1333,24.2833,10.5080,0.104
2005-12-02,23.0367,24.0133,10.4560,0.307
2005-12-05,22.7433,23.8100,10.4850,0.153
2005-12-06,23.2833,24.3033,10.4135,-0.236
2005-12-07,23.0567,24.1000,10.4565,0.038
2005-12-08,22.7567,23.9900,10.5030,-0.370
2005-12-09,22.5133,23.9500,10.6400,0.017
2005-12-12,22.9100,23.9500,10.6225,1.612
2005-12-13,22.7267,24.1400,10.6325,0.100
2005-12-14,23.1200,24.8033,10.7455,0.162
2005-12-15,23.1500,24.8000,10.7270,0.133
2005-12-16,23.2267,24.9200,10.7650,0.335
2005-12-19,23.1933,24.9167,10.7165,-0.247
2005-12-20,23.4700,25.0367,10.6870,0.183
2005-12-21,24.0267,25.4767,10.6420,0.363
2005-12-22,23.8567,25.3833,10.6505,0.099
2005-12-23,24.0533,25.7400,10.6775,-0.222
2005-12-27,24.1267,25.9867,10.7355,-0.329
2005-12-28,23.9167,25.7400,10.7725,0.094
2005-12-29,24.1833,25.7433,10.6960,0.478
2005-12-30,24.1700,25.6933,10.6275,-0.026
2006-01-03,24.8533,26.3900,10.6430,0.233
2006-01-04,25.7333,27.1533,10.5872,0.335
2006-01-05,25.5000,27.0833,10.5910,-0.282
2006-01-06,25.6233,27.0600,10.5620,0.012
2006-01-09,25.6667,27.1467,10.5580,-0.176
