date,adr_usd,local_px,fx,premium_pct
2009-02-02,5.1508,13.3333,2.3262,-10.137
2009-02-03,5.3333,13.3333,2.3151,-7.396
2009-02-04,5.5476,13.3333,2.2910,-4.678
2009-02-05,5.7778,13.3333,2.2966,-0.481
2009-02-06,6.1587,13.3333,2.2620,4.483
2009-02-09,6.0159,13.3333,2.2375,0.954
2009-02-10,5.4603,13.3333,2.2663,-7.190
2009-02-11,5.5635,13.3333,2.2649,-5.494
2009-02-12,5.5000,13.3333,2.2940,-5.372
2009-02-13,5.5556,13.3333,2.2765,-5.146
2009-02-17,5.1190,13.3333,2.3192,-10.959
2009-02-18,4.9683,13.3333,2.3572,-12.166
2009-02-19,4.8333,13.3333,2.3554,-14.617
2009-02-20,4.4841,13.3333,2.3898,-19.629
2009-02-25,4.3175,13.3333,2.3880,-22.674
2009-02-26,4.2857,13.3333,2.3508,-24.439
2009-02-27,4.1508,13.3333,2.3750,-26.064
2009-03-02,3.8175,13.3333,2.4365,-30.241
2009-03-03,3.9048,13.3333,2.4420,-28.484
2009-03-04,4.2778,13.3333,2.3738,-23.841
2009-03-05,3.9365,13.3333,2.3860,-29.556
2009-03-06,3.8889,13.3333,2.3735,-30.773
2009-03-09,3.7460,13.3333,2.3698,-33.420
2009-03-10,4.0317,13.3333,2.3472,-29.025
2009-03-11,4.0000,13.3333,2.3357,-29.929
2009-03-12,4.1508,13.3333,2.3265,-27.574
2009-03-13,4.0238,13.3333,2.3125,-30.212
2009-03-16,3.9603,13.3333,2.2635,-32.769
2009-03-17,3.9365,13.3333,2.2792,-32.709
2009-03-18,4.0159,13.3333,2.3033,-30.627
2009-03-19,4.0079,13.3333,2.2516,-32.318
2009-03-20,4.0159,13.3333,2.2500,-32.232
2009-03-23,4.3413,13.3333,2.2709,-26.061
2009-03-24,4.3413,13.3333,2.2548,-26.585
2009-03-25,4.5238,13.3333,2.2383,-24.058
2009-03-26,4.8333,13.3333,2.2371,-18.905
2009-03-27,4.5952,13.3333,2.2761,-21.556
2009-03-30,4.2937,13.3333,2.3251,-25.126
2009-03-31,4.3413,13.3333,2.3007,-25.090
2009-04-01,4.6746,13.3333,2.2860,-19.854
2009-04-02,5.0397,13.3333,2.2400,-15.333
2009-04-03,5.2460,13.3333,2.2024,-13.346
2009-04-06,5.1190,13.3333,2.2274,-14.484
2009-04-07,5.0159,13.3333,2.2255,-16.279
2009-04-08,5.0794,13.3333,2.1950,-16.381
2009-04-09,5.4048,13.3333,2.1774,-11.738
2009-04-13,5.5794,13.3333,2.1745,-9.008
2009-04-14,5.4683,13.3333,2.1778,-10.684
2009-04-15,5.4444,13.3333,2.1955,-10.350
2009-04-16,5.6429,13.3333,2.1756,-7.925
2009-04-17,5.6349,13.3333,2.1856,-7.632
2009-04-20,5.2302,13.3333,2.2322,-12.439
2009-04-22,5.4603,13.3333,2.2045,-9.720
2009-04-23,5.4921,13.3333,2.2185,-8.619
2009-04-24,5.6270,13.3333,2.1960,-7.324
2009-04-27,5.3254,13.3333,2.1963,-12.279
2009-04-28,5.3016,13.3333,2.2060,-12.285
2009-04-29,5.5159,13.3333,2.1617,-10.573
2009-04-30,5.6349,13.3333,2.1724,-8.190
2009-05-04,6.4127,13.3333,2.1363,2.746
2009-05-05,6.6270,13.3333,2.1495,6.835
2009-05-06,7.0952,13.3333,2.1199,12.809
2009-05-07,6.7381,13.3333,2.1052,6.388
2009-05-08,7.0159,13.3333,2.0742,9.142
2009-05-11,7.0397,13.3333,2.0528,8.383
2009-05-12,6.9048,13.3333,2.0687,7.129
2009-05-13,6.3175,13.3333,2.1010,-0.453
2009-05-14,6.4524,13.3333,2.0939,1.330
2009-05-15,6.3968,13.3333,2.0815,-0.138
2009-05-18,6.9921,13.3333,2.0798,9.066
2009-05-19,7.1825,13.3333,2.0489,10.372
2009-05-20,7.0952,13.3333,2.0205,7.519
2009-05-21,6.8095,13.3333,2.0332,3.838
2009-05-22,6.9762,13.3333,2.0274,6.076
2009-05-26,7.3889,13.3333,2.0221,12.058
2009-05-27,7.6111,13.3333,2.0148,15.012
2009-05-28,8.0317,13.3333,2.0074,20.922
2009-05-29,8.2540,16.3571,1.9678,-0.703
2009-06-01,8.8254,17.0635,1.9452,0.608
2009-06-02,9.1825,17.6587,1.9402,0.890
2009-06-03,8.6746,17.1429,1.9474,-1.458
2009-06-04,9.0238,17.6587,1.9457,-0.573
2009-06-05,9.1111,17.7778,1.9606,0.481
2009-06-08,8.9048,17.4921,1.9779,0.690
2009-06-09,8.8810,17.1111,1.9448,0.938
2009-06-10,8.7857,17.0556,1.9494,0.418
2009-06-12,8.8810,16.9921,1.9214,0.423
2009-06-15,8.3095,16.1032,1.9480,0.520
2009-06-16,7.9286,15.5159,1.9475,-0.483
2009-06-17,7.8968,15.7063,1.9855,-0.173
2009-06-18,8.0635,15.8651,1.9611,-0.326
2009-06-19,8.0794,15.8571,1.9540,-0.442
2009-06-22,7.4286,15.1190,2.0138,-1.054
2009-06-23,7.8492,15.7063,2.0026,0.079
2009-06-24,7.9683,15.5714,1.9650,0.554
2009-06-25,8.2857,16.2222,1.9632,0.273
2009-06-26,8.3968,16.1905,1.9444,0.842
2009-06-29,8.4127,16.5238,1.9570,-0.364
2009-06-30,8.3095,16.2698,1.9653,0.374
2009-07-01,8.4603,16.3413,1.9299,-0.084
2009-07-02,8.1508,16.1429,1.9565,-1.213
2009-07-06,8.0079,15.8413,1.9727,-0.278
2009-07-07,7.6746,15.2778,1.9667,-1.205
2009-07-08,7.5635,15.2143,2.0035,-0.400
2009-07-09,7.7063,15.2143,1.9910,0.848
2009-07-10,7.5794,15.1111,2.0141,1.022
2009-07-13,7.5794,14.8413,1.9897,1.613
2009-07-14,7.4762,14.6825,1.9721,0.417
2009-07-15,8.2222,15.8810,1.9358,0.224
2009-07-16,8.5317,16.3571,1.9362,0.991
2009-07-17,8.5079,16.4127,1.9278,-0.068
2009-07-20,9.0000,17.1825,1.9056,-0.187
2009-07-21,8.9524,17.0397,1.9085,0.270
2009-07-22,9.0635,17.1984,1.9046,0.372
2009-07-23,9.3333,17.5794,1.8870,0.186
2009-07-24,9.2540,17.4683,1.8958,0.432
2009-07-27,9.1984,17.2778,1.8857,0.392
2009-07-28,9.1190,17.1349,1.8785,-0.028
2009-07-29,8.7698,16.7143,1.8987,-0.377
2009-07-30,9.1746,17.1111,1.8780,0.694
2009-07-31,9.2619,17.4048,1.8653,-0.738
2009-08-03,9.7302,17.8571,1.8353,0.003
2009-08-04,9.8651,18.0079,1.8326,0.393
2009-08-05,9.9762,17.9762,1.8291,1.509
2009-08-06,9.5159,17.5000,1.8304,-0.469
2009-08-07,9.5635,17.4206,1.8211,-0.026
2009-08-10,9.4603,17.5000,1.8435,-0.342
2009-08-11,9.2698,16.9921,1.8530,1.088
2009-08-12,9.6190,17.6587,1.8318,-0.218
2009-08-13,9.8889,18.1508,1.8340,-0.080
2009-08-14,9.8016,18.2619,1.8440,-1.028
2009-08-17,9.2857,18.2619,1.8665,-5.093
2009-08-18,9.4524,17.4206,1.8683,1.373
2009-08-19,9.4127,17.4048,1.8325,-0.896
2009-08-20,9.6429,17.6984,1.8453,0.540
2009-08-21,9.7857,17.9921,1.8297,-0.484
2009-08-24,9.8968,18.1746,1.8333,-0.169
2009-08-25,9.6349,17.7857,1.8300,-0.865
2009-08-26,9.5159,17.6984,1.8672,0.393
2009-08-27,9.8016,18.1825,1.8810,1.398
2009-08-28,9.5873,18.0476,1.8730,-0.502
2009-08-31,9.3254,17.5079,1.8700,-0.397
2009-09-01,9.0714,17.2222,1.8936,-0.259
2009-09-02,8.9841,16.8651,1.8936,0.873
2009-09-03,9.2063,17.1587,1.8730,0.494
2009-09-04,9.4762,17.4841,1.8458,0.040
2009-09-08,9.8651,18.0159,1.8245,-0.095
2009-09-09,9.7619,17.9048,1.8295,-0.253
2009-09-10,10.0238,18.2143,1.8206,0.193
2009-09-11,10.0556,18.3492,1.8129,-0.651
2009-09-14,10.1190,18.2698,1.8161,0.588
2009-09-15,10.1667,18.2857,1.8058,0.401
2009-09-16,10.5159,18.9286,1.7983,-0.094
2009-09-17,10.5714,19.1270,1.8097,0.022
2009-09-18,10.5952,19.2619,1.8080,-0.549
2009-09-21,10.6984,19.4444,1.8137,-0.209
2009-09-22,11.0476,19.6032,1.8028,1.599
2009-09-23,10.6429,19.0952,1.7877,-0.361
2009-09-24,10.4127,18.8492,1.8025,-0.426
2009-09-25,10.4444,18.7778,1.8002,0.129
2009-09-28,10.6270,19.0873,1.7886,-0.418
2009-09-29,10.5238,18.8413,1.7905,0.009
2009-09-30,10.6667,18.8492,1.7743,0.407
2009-10-01,10.1746,18.3413,1.7810,-1.201
2009-10-02,10.6667,18.9365,1.7814,0.344
2009-10-05,11.2460,19.6825,1.7702,1.144
2009-10-06,11.3889,20.0794,1.7493,-0.781
2009-10-07,11.5000,20.1984,1.7613,0.280
2009-10-08,11.8175,20.5556,1.7450,0.321
2009-10-09,11.9206,20.5635,1.7395,0.839
2009-10-13,12.3333,21.3889,1.7310,-0.186
2009-10-14,13.2698,22.7381,1.7055,-0.468
