date,adr_usd,local_px,fx,premium_pct
1999-03-11,0.7324,25.0078,42.4800,24.414
1999-03-12,0.7285,26.6875,42.5200,16.071
1999-03-15,0.6621,26.2508,42.5000,7.195
1999-03-16,0.6562,24.5039,42.5000,13.821
1999-03-17,0.6602,24.0625,42.5000,16.599
1999-03-18,0.6719,23.4844,42.5000,21.590
1999-03-19,0.6562,22.8750,42.5000,21.926
1999-03-22,0.6602,22.5312,42.5000,24.523
1999-03-23,0.6309,21.7969,42.5000,23.006
1999-03-24,0.6367,20.8984,42.5000,29.486
1999-03-25,0.6602,21.2891,42.5000,31.789
1999-03-26,0.7090,21.2109,42.5000,42.058
1999-03-29,0.7168,21.2109,42.4800,43.556
1999-03-30,0.7090,22.9062,42.5000,31.544
1999-03-31,0.6738,22.8906,42.5000,25.107
1999-04-01,0.6523,22.2188,42.5000,24.780
1999-04-05,0.6797,21.4688,42.5000,34.552
1999-04-06,0.6514,21.4453,42.7500,29.846
1999-04-07,0.6719,22.1477,42.7500,29.687
1999-04-08,0.6992,22.0785,42.7600,35.419
1999-04-09,0.6875,20.4062,42.7800,44.129
1999-04-12,0.6846,21.2227,42.7700,37.961
1999-04-13,0.6543,20.9375,42.9000,34.063
1999-04-14,0.6543,20.9375,42.8500,33.906
1999-04-15,0.6543,20.7812,42.9000,35.071
1999-04-16,0.6797,22.4438,42.7500,29.464
1999-04-19,0.6562,21.1797,42.9500,33.080
1999-04-20,0.6289,21.4844,42.9000,25.580
1999-04-21,0.6250,21.2973,42.9000,25.896
1999-04-22,0.6758,21.1320,42.8100,36.902
1999-04-23,0.6660,21.1719,42.8500,34.796
1999-04-26,0.6582,20.1172,42.9000,40.362
1999-04-27,0.6250,20.1172,42.9100,33.313
1999-04-28,0.6250,20.3047,42.9000,32.051
1999-04-29,0.6289,20.5469,42.8600,31.187
1999-04-30,0.6455,20.7035,42.8400,33.569
1999-05-03,0.6562,20.4297,42.8500,37.644
1999-05-04,0.6504,21.5234,42.8000,29.332
1999-05-05,0.6572,22.9688,42.8000,22.468
1999-05-06,0.6699,24.8062,42.8000,15.586
1999-05-07,0.6895,25.3906,42.8000,16.218
1999-05-10,0.6699,25.1562,42.8000,13.978
1999-05-11,0.6660,25.0000,42.8000,14.022
1999-05-12,0.6719,25.1723,42.8000,14.238
