date,adr_usd,local_px,fx,premium_pct
2002-02-25,1.2334,2.9228,2.4000,1.280
2002-02-26,1.2729,3.0251,2.4065,1.259
2002-02-27,1.2714,2.9886,2.3800,1.252
2002-02-28,1.2554,2.9886,2.3610,-0.826
2002-03-01,1.2276,2.8645,2.3510,0.752
2002-03-04,1.2364,2.9009,2.3410,-0.227
2002-03-05,1.1721,2.7329,2.3360,0.186
2002-03-06,1.1604,2.7405,2.3520,-0.411
2002-03-07,1.1779,2.7621,2.3650,0.857
2002-03-08,1.1764,2.7767,2.3500,-0.434
2002-03-11,1.1688,2.7402,2.3545,0.434
2002-03-12,1.1937,2.7767,2.3420,0.681
2002-03-13,1.1867,2.8059,2.3475,-0.720
2002-03-14,1.1954,2.7913,2.3445,0.408
2002-03-15,1.2019,2.8191,2.3480,0.103
2002-03-18,1.2159,2.8483,2.3450,0.105
2002-03-19,1.2101,2.8496,2.3400,-0.635
2002-03-20,1.2106,2.8352,2.3370,-0.208
2002-03-21,1.1662,2.7255,2.3490,0.510
2002-03-22,1.1595,2.7109,2.3570,0.811
2002-03-25,1.1516,2.7036,2.3630,0.651
2002-03-26,1.1636,2.7257,2.3430,0.021
2002-03-27,1.1838,2.7548,2.3290,0.079
2002-03-28,1.1721,2.7109,2.3250,0.520
2002-04-01,1.2042,2.7913,2.3250,0.304
2002-04-02,1.1896,2.7255,2.2990,0.342
2002-04-03,1.1458,2.6598,2.3100,-0.492
2002-04-04,1.1808,2.6744,2.3060,1.817
2002-04-05,1.1925,2.7180,2.2970,0.782
2002-04-08,1.1940,2.7204,2.2910,0.550
2002-04-09,1.2320,2.7985,2.2900,0.813
2002-04-10,1.2787,2.9011,2.2745,0.256
2002-04-11,1.2627,2.8498,2.2730,0.711
2002-04-12,1.2510,2.8468,2.2970,0.936
2002-04-15,1.2048,2.7767,2.3240,0.837
2002-04-16,1.1838,2.7255,2.3150,0.544
2002-04-17,1.1838,2.7621,2.3190,-0.614
2002-04-18,1.1838,2.7767,2.3340,-0.498
2002-04-19,1.1867,2.7507,2.3235,0.238
2002-04-22,1.1764,2.7548,2.3420,0.016
2002-04-23,1.1721,2.7621,2.3490,-0.323
2002-04-24,1.1706,2.7409,2.3580,0.707
2002-04-25,1.1472,2.7036,2.3750,0.777
2002-04-26,1.1443,2.7036,2.3700,0.309
2002-04-29,1.1516,2.7292,2.3670,-0.123
2002-04-30,1.1662,2.7402,2.3600,0.442
2002-05-01,1.1648,2.7402,2.3610,0.358
2002-05-02,1.1224,2.6773,2.3820,-0.143
2002-05-03,1.0931,2.6379,2.4150,0.079
2002-05-06,1.0815,2.6086,2.4360,0.988
2002-05-07,1.0858,2.6379,2.4115,-0.734
2002-05-08,1.1034,2.6817,2.4275,-0.122
2002-05-09,1.0417,2.5867,2.4560,-1.094
2002-05-10,1.0332,2.5229,2.4820,1.649
2002-05-13,0.9879,2.4830,2.4910,-0.888
2002-05-14,0.9952,2.4771,2.5160,1.085
2002-05-15,1.0318,2.5721,2.5030,0.404
2002-05-16,1.0668,2.5898,2.4930,2.697
2002-05-17,1.0566,2.6159,2.4770,0.049
2002-05-20,1.0484,2.5575,2.4720,1.338
2002-05-21,1.0508,2.6013,2.4745,-0.047
2002-05-22,1.0259,2.5939,2.5070,-0.844
2002-05-23,1.0326,2.5867,2.5380,1.319
2002-05-24,1.0283,2.5725,2.5340,1.285
2002-05-28,1.0142,2.5283,2.5250,1.292
2002-05-29,1.0347,2.5962,2.5200,0.431
2002-05-30,1.0405,2.5962,2.5120,0.678
2002-05-31,1.0157,2.5370,2.5220,0.967
2002-06-03,1.0128,2.5578,2.5500,0.968
2002-06-04,0.9832,2.5429,2.5720,-0.549
2002-06-05,0.9631,2.5063,2.6060,0.137
2002-06-06,0.8871,2.3675,2.6560,-0.482
2002-06-07,0.9002,2.3807,2.6480,0.133
2002-06-10,0.9470,2.4989,2.6390,0.010
2002-06-11,0.9046,2.4616,2.6700,-1.880
2002-06-12,0.8593,2.3865,2.7520,-0.908
2002-06-13,0.8739,2.3982,2.6350,-3.977
2002-06-14,0.8327,2.2740,2.7190,-0.432
2002-06-17,0.8695,2.3090,2.6810,0.962
2002-06-18,0.8766,2.3630,2.6990,0.121
2002-06-19,0.8315,2.2364,2.6920,0.095
2002-06-20,0.7775,2.2062,2.7590,-2.770
