date,adr_usd,local_px,fx,premium_pct
2000-08-10,7.1562,6.3125,1.7980,1.916
2000-08-11,7.1406,6.4375,1.7960,-0.392
2000-08-14,7.1094,6.4125,1.8040,0.002
2000-08-15,7.1406,6.4250,1.8050,0.302
2000-08-16,7.3281,6.6625,1.8080,-0.568
2000-08-17,7.6875,6.9625,1.8090,-0.132
2000-08-18,7.2500,6.6000,1.8170,-0.203
2000-08-21,7.2812,6.5075,1.8210,1.876
2000-08-22,7.3594,6.6625,1.8180,0.408
2000-08-23,7.5312,6.8125,1.8180,0.490
2000-08-24,7.3750,6.6250,1.8220,1.413
2000-08-25,7.5625,6.8625,1.8230,0.448
2000-08-28,7.5312,6.8738,1.8290,0.198
2000-08-29,7.7812,7.0637,1.8320,0.904
2000-08-30,8.0625,7.3375,1.8241,0.217
2000-08-31,7.9531,7.2125,1.8200,0.344
2000-09-01,7.7969,7.1000,1.8240,0.151
2000-09-05,7.8438,7.1438,1.8278,0.345
2000-09-06,8.2500,7.4812,1.8210,0.406
2000-09-07,8.3438,7.4812,1.8221,1.608
2000-09-08,8.1875,7.4575,1.8220,0.018
2000-09-11,8.3281,7.5437,1.8187,0.390
2000-09-12,8.0469,7.3625,1.8270,-0.159
2000-09-13,7.7188,7.1125,1.8350,-0.429
2000-09-14,7.5938,6.9738,1.8330,-0.202
2000-09-15,7.5625,6.9400,1.8445,0.497
2000-09-18,7.3438,6.8500,1.8590,-0.350
2000-09-19,7.3906,6.8000,1.8550,0.806
2000-09-20,7.5312,7.0500,1.8570,-0.812
2000-09-21,7.3281,6.8000,1.8540,-0.100
2000-09-22,7.2500,6.7250,1.8575,0.125
2000-09-25,7.3594,6.7500,1.8440,0.524
2000-09-26,7.5781,6.9250,1.8517,1.317
2000-09-27,7.5469,6.9750,1.8490,0.030
2000-09-28,7.5000,6.9000,1.8482,0.446
2000-09-29,7.5156,6.9000,1.8440,0.426
2000-10-02,7.5312,6.9250,1.8470,0.435
2000-10-03,7.5781,6.9875,1.8480,0.210
2000-10-04,7.5781,6.9900,1.8520,0.391
2000-10-05,7.6094,6.9900,1.8520,0.805
2000-10-06,7.4375,6.8750,1.8550,0.339
2000-10-09,7.5000,6.8500,1.8550,1.551
2000-10-10,7.6250,7.0500,1.8550,0.315
2000-10-11,7.6250,7.0637,1.8600,0.389
2000-10-12,7.9531,7.0637,1.8620,4.822
2000-10-13,7.7344,7.2125,1.8770,0.641
2000-10-16,7.5000,7.0012,1.8710,0.214
2000-10-17,7.2656,6.7463,1.8735,0.887
2000-10-18,7.3438,6.7375,1.8760,2.240
2000-10-19,7.4375,6.9625,1.8750,0.146
2000-10-20,7.2812,6.8250,1.8820,0.391
2000-10-23,7.0000,6.6250,1.8930,0.008
2000-10-24,6.7500,6.6250,1.9010,-3.157
2000-10-25,6.5781,6.3125,1.9250,0.300
2000-10-26,7.0000,6.7475,1.9460,0.941
2000-10-27,7.0938,6.7500,1.9310,1.467
2000-10-30,7.1875,6.9763,1.9185,-1.170
2000-10-31,7.2656,6.9113,1.9080,0.292
2000-11-01,7.3438,7.0000,1.9090,0.137
2000-11-02,7.2656,7.0000,1.9190,-0.409
2000-11-03,7.0625,6.8488,1.9370,-0.127
2000-11-06,7.1406,6.9262,1.9410,0.054
2000-11-07,7.2656,7.0988,1.9545,0.022
2000-11-08,7.1250,7.0125,1.9550,-0.682
2000-11-09,7.0000,6.9000,1.9630,-0.428
2000-11-10,6.9375,6.8263,1.9510,-0.860
2000-11-13,6.9844,6.8500,1.9590,-0.129
2000-11-14,7.0625,6.8500,1.9450,0.267
2000-11-15,7.1094,6.8500,1.9490,1.140
2000-11-16,7.3438,6.9250,1.9475,3.263
2000-11-17,7.0781,6.9363,1.9680,0.413
2000-11-20,7.2031,6.8375,1.9290,1.608
2000-11-21,7.3438,6.9138,1.9260,2.289
2000-11-22,7.1875,6.9125,1.9290,0.287
