date,adr_usd,local_px,fx,premium_pct
2000-01-04,18.0781,69.6490,30.6000,58.851
2000-01-05,18.1966,71.2140,30.8000,57.400
2000-01-06,17.4384,69.6490,31.7500,58.988
2000-01-07,18.1018,67.6925,30.8500,64.993
2000-01-10,18.8363,70.0402,30.8300,65.826
2000-01-11,18.5757,68.8663,30.8300,66.319
2000-01-12,18.8837,70.8229,30.8000,64.246
2000-01-13,19.2628,69.6490,30.8000,70.367
2000-01-14,20.9213,71.2140,30.8300,81.145
2000-01-18,20.4001,71.9967,30.8900,75.052
2000-01-19,20.2579,71.9967,30.8500,73.607
2000-01-20,19.9499,71.2140,30.8500,72.846
2000-01-21,20.7081,72.7790,30.8500,75.557
2000-01-24,22.6272,73.5617,30.8500,89.786
2000-01-25,24.8307,75.5183,30.8500,102.872
2000-01-26,23.9778,80.6048,30.8500,83.541
2000-01-27,22.3192,81.3875,30.8300,69.093
2000-01-28,20.5896,79.8225,30.7500,58.634
2000-01-31,19.6656,79.4310,30.7500,52.262
2000-02-01,22.0349,79.0398,31.7500,77.027
2000-02-02,21.9638,79.0398,30.8000,71.176
2000-02-03,26.0154,79.0398,30.8000,102.752
2000-02-04,25.3757,79.0398,30.8000,97.766
2000-02-07,25.2335,79.0398,30.8000,96.658
2000-02-08,24.2621,79.0398,30.7500,88.781
2000-02-09,23.1248,82.5614,30.6500,71.697
2000-02-10,24.5227,83.7352,30.6500,79.523
2000-02-11,23.3143,85.6918,30.6300,66.671
2000-02-14,23.5039,83.7352,30.7200,72.458
2000-02-15,23.4565,84.1264,30.7500,71.477
2000-02-16,23.5276,83.3441,30.7200,73.442
2000-02-17,23.7408,82.5614,30.7200,76.673
2000-02-18,22.6509,81.3875,30.7650,71.244
2000-02-22,21.4189,76.3006,30.8000,72.922
2000-02-23,20.8502,75.9094,30.8000,69.198
2000-02-24,21.2293,76.3006,30.8500,71.670
2000-02-25,22.1060,77.8660,30.8000,74.881
2000-02-28,21.7506,77.8660,30.8000,72.069
2000-02-29,22.6746,78.6483,30.7600,77.365
2000-03-01,23.3143,80.6048,30.7500,77.884
2000-03-02,22.9353,79.4310,30.7500,77.578
2000-03-03,24.6412,79.4310,30.7500,90.786
2000-03-06,23.3143,78.2571,30.8000,83.519
2000-03-07,21.9638,77.8660,30.7500,73.474
2000-03-08,22.6983,77.4744,30.7600,80.240
