date,adr_usd,local_px,fx,premium_pct
2002-03-21,2.2500,5.2492,2.3490,0.687
2002-03-22,2.1792,5.1583,2.3570,-0.427
2002-03-25,2.1792,5.1667,2.3630,-0.335
2002-03-26,2.2367,5.2167,2.3430,0.457
2002-03-27,2.2708,5.2917,2.3290,-0.055
2002-03-28,2.2825,5.2917,2.3250,0.286
2002-04-01,2.2708,5.2408,2.3250,0.741
2002-04-02,2.2500,5.1917,2.2990,-0.364
2002-04-03,2.2167,5.1250,2.3100,-0.088
2002-04-04,2.2667,5.2083,2.3060,0.357
2002-04-05,2.3092,5.2917,2.2970,0.236
2002-04-08,2.3000,5.2900,2.2910,-0.391
2002-04-09,2.3250,5.3750,2.2900,-0.944
2002-04-10,2.3592,5.3750,2.2745,-0.169
2002-04-11,2.3525,5.3750,2.2730,-0.517
2002-04-12,2.3583,5.4142,2.2970,0.054
2002-04-15,2.3417,5.4167,2.3240,0.468
2002-04-16,2.3717,5.4917,2.3150,-0.023
2002-04-17,2.3608,5.5417,2.3190,-1.207
2002-04-18,2.3208,5.4000,2.3340,0.312
2002-04-19,2.3000,5.3458,2.3235,-0.033
2002-04-22,2.3583,5.5000,2.3420,0.422
2002-04-23,2.3467,5.5417,2.3490,-0.530
2002-04-24,2.3333,5.5000,2.3580,0.036
2002-04-25,2.2792,5.3750,2.3750,0.707
2002-04-26,2.2708,5.3575,2.3700,0.455
2002-04-29,2.2708,5.3750,2.3670,0.001
2002-04-30,2.2742,5.3667,2.3600,0.007
2002-05-01,2.3125,5.3667,2.3610,1.736
2002-05-02,2.2500,5.3833,2.3820,-0.443
2002-05-03,2.2500,5.4583,2.4150,-0.450
2002-05-06,2.2917,5.5333,2.4360,0.889
2002-05-07,2.2642,5.5250,2.4115,-1.176
2002-05-08,2.3000,5.6250,2.4275,-0.742
2002-05-09,2.2792,5.7083,2.4560,-1.939
2002-05-10,2.3042,5.7083,2.4820,0.186
2002-05-13,2.3167,5.8325,2.4910,-1.058
2002-05-14,2.3208,5.8317,2.5160,0.129
2002-05-15,2.3167,5.7917,2.5030,0.120
2002-05-16,2.3050,5.6667,2.4930,1.406
2002-05-17,2.2958,5.7375,2.4770,-0.884
2002-05-20,2.3008,5.7250,2.4720,-0.652
2002-05-21,2.3425,5.8167,2.4745,-0.346
