date,adr_usd,local_px,fx,premium_pct
2000-10-19,0.9235,41.1469,46.4000,4.136
2000-10-20,0.9891,43.0247,46.4000,6.668
2000-10-23,0.9071,40.5234,46.4500,3.971
2000-10-24,0.9164,41.0963,46.4800,3.648
2000-10-25,0.9153,42.7566,46.7000,-0.033
2000-10-26,0.9047,42.9028,46.7000,-1.522
2000-10-27,0.9328,43.3763,46.7800,0.604
2000-10-30,0.9574,42.0131,46.7800,6.608
2000-10-31,0.9867,44.0344,46.9000,5.096
2000-11-01,0.9938,45.2813,46.8200,2.754
2000-11-02,1.0172,44.5500,46.8500,6.973
2000-11-03,1.0219,45.0919,46.7000,5.835
2000-11-06,0.9914,43.8694,46.6400,5.405
2000-11-07,0.9832,43.5544,46.7000,5.424
2000-11-08,1.0489,44.5969,46.7200,9.879
2000-11-09,1.0512,45.4359,46.7500,8.160
2000-11-10,1.0266,44.0325,46.7800,9.064
2000-11-13,0.9938,40.9856,46.7700,13.403
2000-11-14,1.0500,43.3519,46.8500,13.475
2000-11-15,1.0430,44.4919,46.8300,9.781
2000-11-16,1.0477,44.5200,46.8500,10.251
2000-11-17,1.0430,45.0169,46.8200,8.477
2000-11-20,1.1051,46.5178,46.9000,11.419
2000-11-21,1.1672,47.7769,46.8500,14.457
2000-11-22,1.0641,46.3800,46.8600,7.510
2000-11-24,1.1157,46.7213,46.9100,12.016
2000-11-27,1.1344,49.0941,46.9000,8.371
2000-11-28,1.1098,48.6956,46.9300,6.955
2000-11-29,1.0664,48.9938,46.9500,2.195
2000-11-30,1.0172,48.3300,46.8700,-1.352
2000-12-01,1.1074,52.8769,46.8900,-1.794
2000-12-04,1.1203,52.1822,46.8800,0.650
2000-12-05,1.2293,54.8016,46.8000,4.983
2000-12-06,1.1461,54.7266,46.7800,-2.030
2000-12-07,1.1930,55.0388,46.8000,1.442
2000-12-08,1.2282,56.4459,46.8000,1.828
2000-12-11,1.2539,56.2116,46.7800,4.354
2000-12-12,1.2563,55.9884,46.7800,4.966
2000-12-13,1.2680,56.4459,46.8000,5.131
2000-12-14,1.2235,55.1222,46.8000,3.875
2000-12-15,1.1227,52.1681,46.8000,0.716
2000-12-18,1.1157,52.7006,46.7900,-0.947
2000-12-19,1.0606,49.7278,46.7500,-0.294
2000-12-20,0.9938,49.0528,46.7500,-5.288
2000-12-21,0.9961,46.8713,46.7400,-0.667
2000-12-22,0.9399,43.2084,46.7700,1.734
2000-12-26,0.9176,40.8938,46.7500,4.901
2000-12-27,0.9305,42.1369,46.7300,3.192
2000-12-28,0.9352,43.0697,46.7500,1.509
2000-12-29,0.9399,44.9859,46.7500,-2.328
2001-01-02,0.9457,45.2775,46.7400,-2.373
2001-01-03,1.0758,45.0713,46.7500,11.588
2001-01-04,1.0699,49.8375,46.7800,0.431
2001-01-05,1.0524,52.3434,46.7600,-5.989
2001-01-08,1.0477,49.9359,46.7300,-1.958
2001-01-09,1.0899,50.6719,46.6800,0.401
2001-01-10,1.0828,50.9250,46.6800,-0.742
2001-01-11,1.0512,47.3784,46.6800,3.570
2001-01-12,1.0383,48.0084,47.4700,2.666
2001-01-16,1.0313,47.1806,46.5500,1.749
2001-01-17,1.0758,46.9050,46.4800,6.606
2001-01-18,1.1567,49.5263,46.4500,8.482
2001-01-19,1.1836,54.6234,46.4300,0.608
2001-01-22,1.1367,54.0788,46.4300,-2.403
2001-01-23,1.1192,52.9116,46.3900,-1.877
2001-01-24,1.1637,53.5209,46.4200,0.931
2001-01-25,1.1356,53.2566,46.5400,-0.764
2001-01-26,1.1239,53.2566,46.5300,-1.809
2001-01-29,1.1166,51.0000,46.5000,1.807
2001-01-30,1.1438,53.0456,46.4600,0.178
2001-01-31,1.1603,52.3181,46.4400,2.992
2001-02-01,1.1402,51.4809,46.4100,2.790
2001-02-02,1.1524,52.7306,46.4400,1.492
2001-02-05,1.1438,52.3303,46.4300,1.482
2001-02-06,1.1457,53.6456,46.4200,-0.866
2001-02-07,1.1262,52.9931,46.4600,-1.268
2001-02-08,1.1646,54.0394,46.4600,0.125
2001-02-09,1.1721,55.0172,46.5400,-0.851
2001-02-12,1.1832,55.9003,46.5600,-1.454
2001-02-13,1.1678,56.2903,46.6000,-3.325
2001-02-14,1.1301,54.4547,46.6500,-3.188
2001-02-15,1.1710,55.1634,46.6300,-1.017
2001-02-16,1.1625,53.2341,46.5500,1.656
2001-02-20,1.1157,52.7813,46.6600,-1.373
2001-02-21,1.0313,51.2428,46.6500,-6.116
2001-02-22,1.0650,49.0406,46.6300,1.267
2001-02-23,1.0350,47.4609,46.6500,1.734
2001-02-26,1.0292,47.2791,46.6600,1.574
2001-02-27,0.9788,43.8788,46.6800,4.126
2001-02-28,1.0048,47.6700,46.5900,-1.793
2001-03-01,1.0050,45.0928,46.5900,3.839
2001-03-02,0.8719,39.3647,46.5900,3.193
2001-03-05,0.8749,37.6284,46.5700,8.280
2001-03-06,0.9000,37.6284,46.5300,11.294
2001-03-07,0.8485,40.2797,46.5700,-1.904
2001-03-08,0.8522,41.8706,46.5600,-5.235
2001-03-09,0.8155,37.1053,46.5500,2.302
2001-03-12,0.6910,31.1691,46.5700,3.236
